"symbol","status","n_reports_found","attempts","last_try"
"SOLV","ok",8,1,"2026-07-21 23:00:06.930745"
"ALLE","ok",8,1,"2026-07-21 23:00:08.757067"
"BG","ok",8,1,"2026-07-21 23:00:11.445839"
"AIZ","ok",8,1,"2026-07-21 23:00:14.240871"
"IPG","ok",1,1,"2026-07-21 23:00:16.993129"
"BEN","ok",8,1,"2026-07-21 23:00:19.107791"
"EMN","ok",8,1,"2026-07-21 23:00:22.093769"
"ALB","ok",8,1,"2026-07-21 23:00:25.264734"
"MGM","ok",8,1,"2026-07-21 23:00:27.515628"
"AOS","ok",8,1,"2026-07-21 23:00:29.980814"
"WYNN","ok",8,1,"2026-07-21 23:00:32.709721"
"PNW","ok",7,1,"2026-07-21 23:00:35.030909"
"ENPH","ok",7,1,"2026-07-21 23:00:44.72232"
"LKQ","ok",8,1,"2026-07-21 23:00:47.794187"
"FRT","ok",6,1,"2026-07-21 23:00:52.360388"
"CRL","ok",8,1,"2026-07-21 23:00:54.909105"
"GNRC","ok",8,1,"2026-07-21 23:00:57.335337"
"AES","ok",8,1,"2026-07-21 23:01:00.079548"
"GL","ok",8,1,"2026-07-21 23:01:02.597786"
"LW","ok",8,1,"2026-07-21 23:01:04.27976"
"HSIC","ok",8,1,"2026-07-21 23:01:06.415957"
"MKTX","ok",8,1,"2026-07-21 23:01:08.949291"
"MTCH","ok",4,1,"2026-07-21 23:01:10.83262"
"TFX","ok",8,1,"2026-07-21 23:01:13.491122"
"WBA","empty",0,1,"2026-07-21 23:01:42.637422"
"HAS","ok",8,1,"2026-07-21 23:01:44.973867"
"IVZ","ok",8,1,"2026-07-21 23:01:46.797189"
"APA","ok",8,1,"2026-07-21 23:01:49.413562"
"MOS","ok",7,1,"2026-07-21 23:01:51.061745"
"PARA","ok",1,1,"2026-07-21 23:01:53.674827"
"MHK","ok",7,1,"2026-07-21 23:01:56.118171"
"CE","ok",8,1,"2026-07-21 23:01:58.742302"
"HII","ok",8,1,"2026-07-21 23:02:00.487215"
"CZR","ok",8,1,"2026-07-21 23:02:02.492815"
"BWA","ok",8,1,"2026-07-21 23:02:05.469292"
"QRVO","ok",7,1,"2026-07-21 23:02:06.970083"
"FMC","ok",8,1,"2026-07-21 23:02:08.76031"
"AMTM","ok",7,1,"2026-07-21 23:02:11.29256"
